HeavyAtomMolWt,NumRadicalElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,Chi0,Chi1,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,TPSA,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,FractionCSP3,refractive_index,state,E_T(30),E_T^N,coor_0_atomic_No.,coor_1_atomic_No.,coor_2_atomic_No.,coor_3_atomic_No.,max_delta_X_coor_0,max_delta_X_coor_1,max_delta_X_coor_2,max_delta_X_coor_3,min_delta_X_coor_0,min_delta_X_coor_1,min_delta_X_coor_2,min_delta_X_coor_3,sum_delta_X_coor_0,sum_delta_X_coor_1,sum_delta_X_coor_2,sum_delta_X_coor_3,max_bond_order_coor_0,max_bond_order_coor_1,max_bond_order_coor_2,max_bond_order_coor_3,min_bond_order_coor_0,min_bond_order_coor_1,min_bond_order_coor_2,min_bond_order_coor_3,sum_bond_order_coor_0,sum_bond_order_coor_1,sum_bond_order_coor_2,sum_bond_order_coor_3,kappa1,kappa2,kappa3,phi,Exp. emission energy
759.556,0,0.70212766,1.446808511,2.29787234,1.180142476,30.33540538,23.19667645,-4.081688312,25.00436555,8.128989726,2.678447435,277.0286299,26.54,47,0,5,4,4,8,4,2,6,5,0,6,1,4,0,4,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.268292683,1.4448,1,40.7,0.309,6,6,6,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1,1.5,1.5,1.5,1,1.5,3,3,2,3,28.57,9.9,3.393,4.325,2.737306843
831.622,0,0.641509434,1.358490566,2.188679245,1.145748719,34.37093928,26.16787356,-4.861688312,28.6162037,9.433164,3.060833062,312.0857241,26.54,53,0,5,4,4,8,5,2,7,5,0,6,2,4,0,4,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.234042553,1.4448,1,40.7,0.309,6,6,6,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1,1.5,1.5,1.5,1,1.5,3,3,2,3,32.9,11.596,3.925,5.093,2.689804772
843.633,0,0.666666667,1.388888889,2.203703704,1.139478093,35.24118277,26.56172041,-4.861688312,29.4905615,9.676468883,3.126946618,318.4506662,26.54,54,0,5,4,4,8,5,2,7,5,0,6,2,4,0,4,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,5,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,1.4448,1,40.7,0.309,6,6,6,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1,1.5,1.5,1.5,1,1.5,3,3,2,3,33.791,11.844,4.073,5.284,2.719298246
645.495,0,0.666666667,1.5,2.472222222,1.57147778,23.17263315,17.8701766,-3.791688312,18.47306109,5.94575038,1.783488722,213.2006739,25.96,36,0,4,0,3,3,4,3,7,5,0,6,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.4448,1,40.7,0.309,6,6,7,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,21.778,7.592,2.481,3.051,2.14532872
629.427,0,0.638888889,1.472222222,2.444444444,1.57147778,23.17263315,17.8701766,-4.211688312,18.11205603,5.773622071,1.72047907,208.3546399,39.1,36,0,5,0,3,3,4,3,7,5,0,6,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.4448,1,40.7,0.309,6,6,7,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,21.778,7.592,2.481,2.905,2.296296296
639.446,0,0.648648649,1.432432432,2.351351351,1.577136482,24.04287664,18.29769696,-4.211688312,18.9733636,6.013344747,1.84077184,215.3443846,30.89,37,0,5,0,3,3,4,3,7,5,0,6,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.032258065,1.4448,1,40.7,0.309,6,6,7,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,22.662,7.84,2.54,3.083,2.440944882
755.564,0,0.531914894,1.127659574,1.787234043,1.450208882,32.08684671,22.56855391,-4.331688312,27.75036665,8.765593214,3.176664588,280.4890214,21.03,47,0,3,1,3,4,4,2,6,3,0,4,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.209302326,1.4448,1,40.7,0.309,6,6,7,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,31.713,10.77,4.066,5.176,2.465208748
799.62,0,0.294117647,0.607843137,1,1.269239084,33.10550828,25.3294076,-5.691688312,27.08401559,8.959838266,2.671309066,299.9292386,11.8,51,0,2,2,3,5,6,2,8,2,0,3,0,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.041666667,1.4448,1,40.7,0.309,6,6,7,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,32.124,11.539,3.636,4.758,2.455445545
991.796,0,0.313432836,0.626865672,0.925373134,1.221508677,46.58648223,31.75009446,-5.691688312,41.49227644,12.88542396,4.912086817,401.7683125,11.8,67,0,2,2,3,5,6,2,8,2,0,3,0,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.28125,1.4448,1,40.7,0.309,6,6,7,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,46.764,15.53,6.13,7.979,2.46031746
617.42,0,0.8,1.685714286,2.6,1.591533058,23.05131281,17.19154381,-3.761688312,18.55162715,5.891740544,1.880391256,204.5807059,43.78,35,0,6,0,3,3,2,4,6,6,0,7,1,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.107142857,1.4448,1,40.7,0.309,6,6,7,7,0,0,0.49,0.49,0,0,0,0.49,0,0,0.49,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,21.882,7.556,2.543,3.123,2.672413793
503.337,0,0.692307692,1.192307692,1.692307692,1.7988006,17.20637782,12.69154381,-2.451688312,13.71268474,4.097577889,1.243204725,154.8526372,21.66,26,0,4,0,3,3,2,2,4,4,0,5,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,1.4969,1,33.9,0.099,6,6,7,7,0,0,0.49,0.49,0,0,0,0,0,0,0.49,0.49,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,15.869,5.126,1.711,2.161,2.805429864
503.337,0,0.692307692,1.192307692,1.692307692,1.831979958,17.20637782,12.72521731,-2.451688312,13.71268474,4.097577889,1.187052665,154.8526372,21.66,26,0,4,0,3,3,2,2,4,4,0,5,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,1.4969,1,33.9,0.099,6,6,7,7,0,0,0.49,0.49,0,0,0,0,0,0,0.49,0.49,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,15.869,5.126,1.636,2.161,2.837528604
675.479,0,0.45,0.925,1.45,1.505803555,25.74154725,19.8701766,-4.731688312,20.21070635,6.5202758,1.950425905,231.661107,30.89,40,0,5,0,3,3,4,4,8,5,0,6,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.4448,1,40.7,0.309,6,6,7,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,24.336,8.583,2.806,3.294,2.393822394
699.501,0,0.523809524,1,1.5,1.502075569,27.48203423,20.65787031,-4.731688312,21.94088881,7.001779392,2.198009184,244.3909913,30.89,42,0,5,0,3,3,4,4,8,5,0,6,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.055555556,1.4448,1,40.7,0.309,6,6,7,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,26.11,9.08,3.095,3.658,2.525458248
